,breedCnt,careAddr,careNm,careTel,closeDay,dataStdDt,divisionNm,dsignationDate,feedCnt,jibunAddr,lat,lng,medicalCnt,orgNm,quarabtineCnt,rnum,saveTrgtAnimal,specsPersonCnt,transCarCnt,vetPersonCnt,weekCellEtime,weekCellStime,weekOprEtime,weekOprStime,weekendCellEtime,weekendCellStime,weekendOprEtime,weekendOprStime
31,,"광주광역시 북구 본촌마을길 25 (본촌동, 건국동사무소) 광주 동물보호소",광주 동물보호소,062-571-2808,,2019-01-22,법인,,, ,,,,광주광역시 광산구,,1,,,,,,,,,,,,
32,,경기도 광주시 경안천로 144 (송정동) 1층,광주TNR동물병원송정,031-798-7583,,2020-11-09,동물병원,,,경기도 광주시 송정동 6-9 1층,,,,경기도 광주시,,1,,,,,,,,,,,,
33,,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,광주TNR동물병원초월,031-798-7581,,2020-06-02,동물병원,,,경기도 광주시 초월읍 지월리 713-2 ,,,,경기도 광주시,,1,,,,,,,,,,,,
34,,경상북도 구미시 해평면 낙동대로 2206  ,구미시 동물보호센터,054-471-5718,,2021-01-04,단체,,,경상북도 구미시 해평면 금호리 707 ,,,,경상북도 구미시,,1,,,,,,,,,,,,
35,10,전라북도 군산시 대야면 보덕안정길 124  유기동물보호소(사단법인 리턴),군산유기동물보호센터,063-451-2975,공휴일,2021-05-27,법인,2018-02-01,1,전라북도 군산시 대야면 보덕리 829 유기동물보호소(사단법인 리턴),35.960814865,126.816307954,1,전라북도 군산시,2,1,개+고양이+기타,7,2,1,18:00,09:00,24:00,00:00,18:00,09:00,24:00,00:00
36,,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원,금강동물병원,053-746-7111,일요일,2020-12-18,동물병원,2018-01-30,, 금강동물병원,35.871651862,128.635874536,,대구광역시 수성구,,1,개+고양이+기타,1,,1,:,:,18:30,09:30,:,:,:,:
37,,"경기도 파주시 금빛로 19 (금촌동, 파주프라임타워) ",금릉동물병원,031-948-3375,,2017-02-17,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
38,,경기도 파주시 가재울로94번길 27 (목동동) ,금쪽같은,031-944-9979,,2013-01-07,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
39,,부산광역시 기장군 기장읍 기장대로 560  ,기장군,051-709-2894,,,법인,,,부산광역시 기장군 기장읍 신천리 1 기장군청 ,,,,부산광역시 기장군,,1,,,,,,,,,,,,
40,2,경상북도 김천시 조마로 2128 (양천동) ,김천시 동물보호센터,010-3477-7771,일요일,2020-06-04,단체,2018-01-04,1, ,36.084043041,128.118882067,1,경상북도 김천시,1,1,개+고양이+기타,1,1,1,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00
41,,경기도 파주시 새꽃로 207 (아동동) 나은동물병원,나은동물병원,031-944-8288,,2017-06-15,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
42,,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,나주유기동물보호센터,010-2331-7377,,2021-06-17,개인,,,전라남도 나주시 산포면 내기리 616 ,,,,전라남도 나주시,,1,,,,,,,,,,,,
43,28,충청남도 부여군 부여읍 성왕로 190-1  남부여동물병원,남부여동물병원,041-837-8275,일요일,2021-03-12,동물병원,2020-01-01,1,충청남도 부여군 부여읍 구아리 391 남부여동물병원,36.28164852,126.909280389,1,충청남도 부여군,12,1,개+고양이,2,1,1,18:00,09:00,18:30,08:30,14:00,09:00,14:00,08:30
44,,서울특별시 용산구 후암동 244-60,남산동물병원,02-778-7582,,2021-06-11,동물병원,,, 244-60,,,,서울특별시 용산구,,1,,,,,,,,,,,,
45,,울산광역시 남구 북부순환도로 40 (무거동) ,남산동물병원,052-224-8275,토요일+일요일,2020-06-04,동물병원,2020-01-09,, ,35.551956519,129.268013763,,울산광역시 남구,,1,개+고양이+기타,2,,1,:,:,17:00,10:00,:,:,:,:
46,,"서울특별시 노원구 수락산로 258 (상계동, 호성빌딩) 1층",노원반려동물문화센터,02-933-8500,월요일,2020-12-21,법인,2020-10-28,,서울특별시 노원구 상계동 1075-1 1층,37.671351047,127.049962143,,서울특별시 노원구,,1,개,2,,0,:,:,19:00,10:00,:,:,:,:
47,,충청남도 논산시 시민로210번길 9 (내동) ,논산시청,041-746-6109,,2020-11-30,단체,,,충청남도 논산시 내동 824 논산시청 ,,,,충청남도 논산시,,1,,,,,,,,,,,,
48,,부산광역시 해운대구 송정2로13번길 46 (송정동) ,누리동물병원,051-701-7599,,2021-01-07,동물병원,,,부산광역시 해운대구 송정동 85-1 ,,,,경상남도 김해시,,1,,,,,,,,,,,,
49,,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,누리동물병원,051-701-7599,일요일,2021-02-19,동물병원,2021-01-01,, 누리동물병원,35.194808961,129.206317652,,부산광역시 동래구,,1,개+고양이+기타,4,,1,17:00,14:00,18:00,10:00,14:00,10:00,14:00,10:00
50,15,부산광역시 해운대구 송정2로13번길 46 (송정동) ,누리동물병원,051-701-7599,일요일,2020-06-05,동물병원,2020-01-01,1, ,35.194808961,129.206317652,3,부산광역시 수영구,3,1,개+고양이+기타,5,3,2,16:00,14:00,18:00,09:00,13:00,10:00,14:00,10:00
51,9,부산광역시 해운대구 송정2로13번길 46 (송정동) ,누리동물병원,051-701-7599,0,2019-12-30,동물병원,2017-01-01,1, ,35.1948086299,129.2063155055,3,부산광역시 금정구,1,1,개+고양이+기타,0,3,2,:,:,24:00,00:00,:,:,:,:
52,,강원도 정선군 정선읍 비봉로 46  ,다나동물병원,033-563-6563,일요일,2020-12-11,동물병원,2012-04-02,,강원도 정선군 정선읍 봉양리 321-3 ,37.378820999,128.659550261,,강원도 정선군,,1,개+고양이,10,,1,:,:,19:00,09:00,:,:,:,:
53,,충청북도 단양군 매포읍 우덕리 910번지,단양군유기동물보호소,010-3822-4351,토요일+일요일,2020-07-03,법인,2009-01-01,, 910번지,37.017139,128.301287,,충청북도 단양군,,1,개+고양이+기타,1,,0,:,:,18:00,09:00,:,:,:,:
54,,전라남도 담양군 용면 시암골로 280-57 (용면) :용면 두장리 21번지,담양군 동물보호 센터,010-3604-1338,토요일+일요일,2020-06-01,개인,2020-03-05,, :용면 두장리 21번지,35.358597268,127.001965613,,전라남도 담양군,,1,개,1,,1,:,:,18:00,09:00,:,:,:,:
55,,대구광역시 서구 서대구로 64 (평리동) ,대구수의사회(아이펫),053-573-1175,일요일+공휴일,2020-06-02,법인,2018-12-27,, ,35.863815962,128.556541359,,대구광역시 서구,,1,개+고양이,1,,1,:,:,19:00,09:00,:,:,:,:
56,,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,대구시수의사회,053-764-3708,,,단체,,,대구광역시 북구 서변동 1783-3 대구경북수의사회관 6층,,,,대구광역시 동구,,1,,,,,,,,,,,,
57,,대구광역시 서구 국채보상로 176 (중리동) ,대구시수의사회(더난),053-552-0075,일요일+공휴일,2020-06-02,법인,2018-12-27,, ,35.869326757,128.550478302,,대구광역시 서구,,1,개+고양이,1,,1,:,:,19:00,09:00,:,:,:,:
58,,대구광역시 서구 서대구로 361 (비산동) 2층,대구시수의사회(더펫),070-4293-0622,일요일+공휴일,2019-01-29,법인,2018-12-27,, ,35.889095781,128.560711191,,대구광역시 서구,,1,개+고양이,1,,1,:,:,19:00,09:00,:,:,:,:
59,,대구광역시 중구 동인동4가 국채보상로 724 ,대구시수의사회(동인),070-4466-1575,0,2020-06-02,법인,2018-12-26,, ,35.868390999,128.60968014,,대구광역시 중구,,1,개+고양이+기타,2,,3,:,:,24:00,00:00,:,:,:,:
60,,대구광역시 서구 달서로 165 (비산동) ,대구시수의사회(보경),053-559-9020,일요일+공휴일,2020-06-02,법인,2018-06-27,, ,35.877030489,128.57099979,,대구광역시 서구,,1,개+고양이,1,,1,:,:,19:00,09:00,:,:,:,:
61,,대구광역시 중구 삼덕동1가 달구벌대로 2145 ,대구시수의사회(삼덕),053-426-1731,일요일,2020-06-02,법인,2018-12-26,, ,35.864857229,128.598401934,,대구광역시 중구,,1,개+고양이+기타,0,,1,:,:,19:00,10:00,:,:,:,:
62,,대구광역시 서구 서대구로 24 (내당동) ,대구시수의사회(삼성),053-556-8575,일요일+공휴일,2020-06-02,법인,2018-12-27,, ,35.860186857,128.557148742,,대구광역시 서구,,1,개+고양이,1,,1,:,:,19:00,09:00,:,:,:,:
63,,대구광역시 중구 동덕로8길 2 (대봉동) ,대구시수의사회(원),053-255-8275,일요일,2020-06-02,법인,2018-12-26,, ,35.858496547,128.605454984,,대구광역시 중구,,1,개+고양이+기타,0,,1,:,:,19:00,10:00,:,:,:,:
64,8,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,0,2021-04-05,법인,2011-01-01,1,대전광역시 유성구 금고동 583 대전광역시 동물보호센터,36.362990159,127.286853557,1,대전광역시 유성구,3,1,개+고양이+기타,9,,2,16:00,13:00,18:00,10:00,16:00,13:00,18:00,10:00
65,8,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,0,2021-04-05,법인,2011-01-01,1,대전광역시 유성구 금고동 583 대전광역시 동물보호센터,36.362990159,127.286853557,1,대전광역시 중구,3,1,개+고양이+기타,9,,2,16:00,13:00,18:00,10:00,16:00,13:00,18:00,10:00
66,8,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,0,2021-04-05,법인,2011-01-01,1,대전광역시 유성구 금고동 583 대전광역시 동물보호센터,36.362990159,127.286853557,1,대전광역시 서구,3,1,개+고양이+기타,9,,2,16:00,13:00,18:00,10:00,16:00,13:00,18:00,10:00
67,8,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,0,2021-04-05,법인,2011-01-01,1,대전광역시 유성구 금고동 583 대전광역시 동물보호센터,36.362990159,127.286853557,1,대전광역시 대덕구,3,1,개+고양이+기타,9,,2,16:00,13:00,18:00,10:00,16:00,13:00,18:00,10:00
68,8,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,대전동물보호센터,042-825-1118,0,2021-04-05,법인,2011-01-01,1,대전광역시 유성구 금고동 583 대전광역시 동물보호센터,36.362990159,127.286853557,1,대전광역시 동구,3,1,개+고양이+기타,9,,2,16:00,13:00,18:00,10:00,16:00,13:00,18:00,10:00
69,,"서울특별시 영등포구 영중로8길 6 (영등포동3가, 성남빌딩) 비동 530호",동물구조119,02-6337-0119,,,법인,,,서울특별시 영등포구 영등포동3가 8-1 비동 530호,,,,서울특별시,,1,,,,,,,,,,,,
70,,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,동물보호관리협회,051-971-6208,일요일,2020-06-02,법인,2020-01-15,, ,35.178922615,128.899758103,,부산광역시 부산진구,,1,개+고양이,3,,0,:,:,24:00,00:00,:,:,:,:
71,,서울특별시 도봉구 방학로 119 (방학동) 2층,동물보호단체 다솜,02-6406-0226,,2020-04-16,법인,,,서울특별시 도봉구 방학동 673-20 2층,,,,서울특별시,,1,,,,,,,,,,,,
72,3,대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할,동인동물병원,053-424-4258,일요일,2020-06-02,동물병원,2017-02-01,1, 가창면 관할,35.868390999,128.60968014,3,대구광역시 달성군,1,1,개+고양이+기타,2,1,2,19:00,09:30,19:00,09:30,18:00,09:30,18:00,09:30
73,,"강원도 동해시 대동로 159-13 (송정동, 동해시유기동물보호소) ",동해시유기동물보호소,033-522-2990,,2019-12-27,법인,,,강원도 동해시 송정동 1708 ,,,,강원도 동해시,,1,,,,,,,,,,,,
74,,서울특별시 강동구 양재대로 1385 (성내동) 둔촌동물병원,둔촌동물병원,02-474-5100,,2020-11-30,동물병원,,,서울특별시 강동구 성내동 415-1 둔촌동물병원,,,,서울특별시 강동구,,1,,,,,,,,,,,,
75,,경기도 파주시 순못길 6-18 (다율동) 라임동물병원,라임동물병원,031-8071-2060,,2013-01-07,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
76,1,경기도 하남시 신평로 58 (신장동) 1층,러브펫동물병원,031-791-5775,일요일,2020-06-02,동물병원,2020-04-01,1, 1층,37.53867483,127.205225785,1,경기도 하남시,,1,개+고양이,1,1,1,19:00,10:30,19:00,10:30,18:00,11:00,18:00,11:00
77,,서울특별시 관악구 남부순환로 1429 (신림동) ,러브펫종합동물병원,02-837-8875,0,2020-05-29,동물병원,2019-03-01,, ,37.4811777,126.909573105,,서울특별시 관악구,,1,개+고양이+기타,4,1,2,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00
78,,"경기도 파주시 문산읍 방촌로 1636 (문산읍, 강산설렁탕) ",로뎀동물병원,031-952-7576,,,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
79,,울산광역시 남구 봉월로 104 (신정동) ,리틀쥬동물의료원,052-268-8884,토요일+일요일,2020-06-04,동물병원,2020-01-09,, ,35.541733493,129.306308764,,울산광역시 남구,,1,개+고양이,3,,2,:,:,17:00,10:00,:,:,:,:
80,,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,055-225-5481,0,2020-06-03,법인,2008-03-28,, 226-19,35.1194213340,128.4682650739,,경상남도 창원시 마산합포회원구,,1,개,4,1,0,15:00,14:00,16:00,07:00,:,:,16:00,07:00
81,,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청) 8층 지역경제과",마포구청,02-3153-8542,,,법인,,,서울특별시 마포구 성산동 369-1 8층 지역경제과,,,,서울특별시 마포구,,1,,,,,,,,,,,,
82,,"서울특별시 마포구 월드컵로 65 (망원동, 망원 양경회관) ",망원동물병원,02-332-0175,일요일+공휴일,2020-06-03,동물병원,2020-01-01,,서울특별시 마포구 망원동 386-2 ,37.554863058,126.910866093,,서울특별시 마포구,,1,개+고양이+토끼+기니피그+페럿+햄스터,1,,1,19:00,11:00,20:00,10:00,16:00,11:00,17:00,10:00
83,,전라남도 무안군 무안읍 백로로 164-123  ,무안군유기동물보호소,061-450-4059,,,개인,,,전라남도 무안군 무안읍 용월리 504 ,,,,전라남도 무안군,,1,,,,,,,,,,,,
84,,경기도 파주시 문산읍 문향로 35 문산동물병원,문산동물병원,031-953-7570,,,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
85,1,울산광역시 남구 중앙로 218-1 (신정동) ,미래펫동물병원,052-273-5911,토요일+일요일,2020-06-04,동물병원,2020-01-09,1, ,35.540416309,129.312249549,1,울산광역시 남구,1,1,개+고양이,2,,1,:,:,17:00,10:00,:,:,:,:
86,,경기도 파주시 청석로 264 (동패동) 2층 201호 거북목프라자,미엘동물병원,031-935-5009,,2017-07-17,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
87,,"서울특별시 용산구 원효로 51 (산천동, 삼성테마트) 119호",민트동물병원,02-707-2235,,2021-06-11,동물병원,,, 119호,,,,서울특별시 용산구,,1,,,,,,,,,,,,
88,2,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호센터,010-5656-6665,0,2020-12-31,개인,2020-12-29,1, ,35.40768428,128.879770197,0,경상남도 밀양시,1,1,개+고양이,3,1,0,18:00,09:00,24:00,00:00,18:00,09:00,18:00,09:00
89,,전라북도 전주시 완산구 전주천서로 111 (서서학동) 박영재 동물병원,박영재동물병원,063-284-7774,,2021-02-09,동물병원,,,전라북도 전주시 완산구 서서학동 940-8 박영재 동물병원,,,,전라북도 임실군,,1,,,,,,,,,,,,
90,,서울특별시 마포구 도화길 42 (도화동) ,박창석동물병원,02-6405-7582,일요일+공휴일,2020-06-03,동물병원,2020-01-01,,서울특별시 마포구 도화동 182-6 ,37.541517149,126.950364461,,서울특별시 마포구,,1,개+고양이+토끼+페럿+햄스터+기니피그,0,,1,18:00,10:00,19:00,09:00,15:00,08:00,16:00,09:00
91,,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,반려동물보호센터,043-201-2298,일요일,2020-06-04,법인,2019-07-01,1, ,36.590336584,127.365419051,1,충청북도 청주시,,1,개+고양이+기타,7,1,1,16:00,13:00,18:00,09:00,16:00,13:00,18:00,09:00
92,,경기도 파주시 문산읍 문산역로 77 버디종합동물병원,버디종합동물병원,031-953-1183,,,동물병원,,, ,,,,경기도 파주시,,1,,,,,,,,,,,,
93,1,울산광역시 울주군 범서읍 천상중앙길 49 (범서읍) ,범서조은동물병원,052-248-7582,공휴일,2020-04-21,동물병원,2016-01-01,1, ,35.56351794,129.23102294,1,울산광역시 울주군,1,1,개,5,0,1,18:00,09:00,18:00,09:00,16:00,10:00,16:00,10:00
94,,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러) ",베스트동물병원,032-934-9340,일요일,2020-06-09,동물병원,2020-01-01,, ,37.73968128,126.505433379,,인천광역시 강화군,,1,개+고양이+염소+기타축종,1,,1,:,:,20:00,10:00,:,:,:,:
95,,전라북도 완주군 용진읍 순지2길 187-6  ,별빛유기동물지킴이,010-4137-1009,,2021-03-19,단체,,,전라북도 완주군 용진읍 신지리 산31-2 ,,,,전라북도 완주군,,1,,,,,,,,,,,,
96,,전라남도 보성군 노동면 노동천동길 209 (노동면) 신천리 71,보성유기동물보호센터,061-850-5403,,2020-08-31,법인,,,전라남도 보성군 노동면 신천리 136 신천리 71,,,,전라남도 보성군,,1,,,,,,,,,,,,
97,6,경상북도 봉화군 봉성면 농업인길 24 (봉성면) 봉화군농업기술센터,봉화군유기동물보호소,054-679-6865,토요일+일요일+공휴일,2020-06-01,단체,2017-01-01,1, 봉화군농업기술센터,36.903668173,128.772537713,,경상북도 봉화군,,1,개,1,,1,18:00,09:00,18:00,09:00,:,:,:,:
98,7,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산동물보호센터,051-832-7119,0,2020-06-18,단체,2020-01-01,1,부산광역시 강서구 대저2동 4708-5 ,35.151443296,128.939632885,1,부산광역시 강서구,2,1,개+고양이+기타,2,2,1,16:00,13:00,18:00,09:00,13:00,09:00,14:00,09:00
99,,경기도 부천시 길주로 660 (춘의동) ,부천시수의사회,032-323-4999,,2021-03-03,단체,,,경기도 부천시 춘의동 381 농산지원사업소 ,,,,경기도 부천시,,1,,,,,,,,,,,,
100,,전라남도 영광군 불갑면 함영로 2758 ,불갑동물임시보호소,010-9188-5525,,,개인,,, ,,,,전라남도 영광군,,1,,,,,,,,,,,,
101,,부산광역시 강서구 제도로 726 (강동동) ,사단법인 하얀비둘기,051-293-9779,,2021-03-26,법인,,,부산광역시 강서구 강동동 3223-7 ,,,,부산광역시 기장군,,1,,,,,,,,,,,,
102,1,울산광역시 남구 중앙로 165-1 (신정동) ,사랑동물병원,052-273-0075,토요일+일요일,2020-06-04,동물병원,2020-01-09,1, ,35.535831807,129.313489602,1,울산광역시 남구,1,1,개+고양이,3,,1,:,:,17:00,10:00,:,:,:,:
