,name,phone,location
31,24시 더블유 동물의료센터,0325658270,인천광역시 서구 청라동
32,24시 더케어 동물의료센터,031-516-8585,경기도 구리시 수택동
33,24시 동물응급의료센터,2208-7233,서울특별시 중랑구 중화동
34,24시 라움동물의료센터,031-692-5022,경기도 평택시 비전동
35,24시 라인동물의료센터,02-381-2475,경기도 고양시 덕양구 삼송동
36,24시 리본동물영상센터,051-711-0006,부산광역시 동래구 명륜동
37,24시 리본동물의료센터,051-711-0006,부산광역시 동래구 명륜동
38,24시 명동물메디컬센터,2619-5102,서울특별시 구로구 개봉동
39,24시 모두의동물병원,02-6951-2475,경기도 광명시 하안동
40,24시 모란동물 메디컬센터,"031-765-1100,1133",경기도 광주시 쌍령동
41,24시 블레스동물메디컬센터,031-546-0942,경기도 용인시 기흥구 중동
42,24시 블루밍 동물병원,062-416-7975,광주광역시 북구 운암동
43,24시 비엔동물의료센터,0323457559,경기도 부천시 괴안동
44,24시 사람앤동물메디컬센터,031-262-0306,경기도 용인시 수지구 성복동
45,24시 산들산들 동물병원,02-393-3588,서울특별시 마포구 아현동
46,24시 서울 탑 동물병원,02-2601-8875,서울특별시 양천구 신정동
47,24시 서울YES동물병원,,경기도 용인시 수지구 죽전동
48,24시 성심동물메디컬센터,0427197566,대전광역시 유성구 봉명동
49,24시 소래동물병원,438-3227,인천광역시 남동구 논현동
50,24시 송도힐 동물메디컬센터,032-834-7275,인천광역시 연수구 송도동
51,24시 수 동물메디컬센터,02-2676-7582,서울특별시 영등포구 양평동1가
52,24시 수유 바른펫 동물의료센터,02-903-7582,서울특별시 강북구 수유동
53,24시 숨 동물병원,031-548-2475,경기도 수원시 권선구 권선동
54,24시 스마트동물병원(신사본원),02-549-0275,서울특별시 강남구 신사동
55,24시 시유동물메디컬센터,02-793-0075,서울특별시 용산구 이촌동
56,24시 쓰담쓰담 동물메디컬 센터,,경기도 용인시 기흥구 신갈동
57,24시 아이동물메디컬센터,677-5262,경기도 부천시 원종동
58,24시 아프리카동물병원,486-7533,경기도 안산시 단원구 초지동
59,24시 안박동물병원,,서울특별시 강서구 등촌동
60,24시 애니동물병원,926-8275,서울특별시 성북구 보문동5가
61,24시 양주 힐 동물의료센터,031-859-8275,경기도 양주시 옥정동
62,24시 언제나 동물병원,062-571-0011,광주광역시 북구 매곡동
63,24시 오케이 동물병원,032-832-7975,인천광역시 연수구 송도동
64,24시 온누리동물메디컬센터,487-7500,경기도 안산시 단원구 고잔동
65,24시 올리몰스 동물 메디컬 센터,0632757979,전라북도 전주시 덕진구 송천동1가
66,24시 웰니스 동물 의료센터,0322017575,경기도 부천시 중동
67,24시 위드유 동물의료센터,,경기도 시흥시 은행동
68,24시 위드힐동물메디컬센터,031-523-3256,경기도 남양주시 별내동
69,24시 이지동물의료센터,348-7975,경기도 부천시 역곡동
70,24시 중리 행복한동물병원,055-231-7555,경상남도 창원시 마산회원구 내서읍 호계리
71,24시 지구촌 동물메디컬 센터,869-7582,서울특별시 구로구 구로동
72,24시 청담우리 동물병원,02-541-7515,서울특별시 강남구 삼성동
73,24시 청주이음동물의료센터,,충청북도 청주시 흥덕구 비하동
74,24시 초이스 동물병원,237-8275,충청북도 청주시 흥덕구 복대동
75,24시 치유동물의료센터,02-6964-8276,서울특별시 은평구 녹번동
76,24시 팔용feel동물병원,055-255-1275,경상남도 창원시 의창구 팔용동
77,24시 폴 동물병원,717-7558,경기도 성남시 분당구 정자동
78,24시 휴동물의료센터,051-819-6061,부산광역시 부산진구 전포동
79,24시LC동물의료센터,02-3394-7530,서울특별시 성동구 용답동
80,24시OK동물병원,02-569-7582,서울특별시 강남구 대치동
81,24시간 대전동물메디컬센터 숲,0428267584,대전광역시 유성구 봉명동
82,24시꿈동물병원,031-222-7617,경기도 수원시 권선구 권선동
83,24시노아동물메디컬센터,062-222-0075,광주광역시 동구 대인동
84,24시동물병원,702-2475,제주특별자치도 제주시 도남동
85,24시동물병원,281-7585,경기도 용인시 기흥구 구갈동
86,24시동물병원 공감,062-716-2979,광주광역시 광산구 장덕동
87,24시동탄윌동물의료센터,031-831-3531,경기도 화성시 반송동
88,24시똑똑똑 동물메디컬센터,064-749-7585,제주특별자치도 제주시 연동
89,24시루시드동물메디컬센터,02-941-7900,서울특별시 강북구 미아동
90,24시마음든든동물병원,031-474-2475,경기도 안양시 만안구 석수동
91,24시배곧스마트동물병원,031-432-1224,경기도 시흥시 정왕동
92,24시보듬동물병원,033-655-7975,강원도 강릉시 임당동
93,24시본동물메디컬센터 수성점,053-634-7582,대구광역시 수성구 만촌동
94,24시분당리더스동물의료원,031-711-8275,경기도 성남시 분당구 구미동
95,24시삼성동물의료센터,031-206-7512,경기도 수원시 영통구 영통동
96,24시센트럴동물메디컬센터,02-3395-7975,서울특별시 성동구 행당동
97,24시스마일동물병원,031-633-7582,경기도 이천시 진리동
98,24시스마트동물메디컬센터,02-387-7582,서울특별시 은평구 응암동
99,24시아프리카동물메디컬센터,3665-7975,서울특별시 강서구 등촌동
100,24시알파동물메디컬센터,0535727585,대구광역시 서구 내당동
101,24시야간응급동물병원펫츠올,055-240-5800,경상남도 창원시 마산합포구 신포동2가
102,24시예담동물의료센터,0269527519,서울특별시 은평구 역촌동
103,24시예스동물병원,534-3475,서울특별시 서초구 반포동
104,24시위드동물병원(정왕동동물의료센터),031-488-8075,경기도 시흥시 정왕동
105,24시잠실ON동물의료센터,418-0724,서울특별시 송파구 잠실동
106,24시청주i동물병원,043)214-9975,충청북도 청주시 청원구 율량동
107,24시청주나음동물메디컬,0437161275010-4701-2315,충청북도 청주시 상당구 용암동
108,24시큰사랑동물병원,031-8011-3690,경기도 이천시 중리동
109,24시프라임동물병원,053-631-9966,대구광역시 달서구 대곡동
110,24시해든동물메디컬센터,0327157579,경기도 부천시 중동
111,24시핸즈동물의료센터,031-8677-2115,경기도 화성시 오산동
112,24아프리카동물메디컬센터,042)486-7581,대전광역시 서구 탄방동
113,24일산우리동물병원,031-913-5550,
114,25세 동물병원,054-974-0975,경상북도 칠곡군 왜관읍 석전리
115,25시 동물병원,635-0402,부산광역시 남구 문현동
116,25시 동물병원,031-731-0025,경기도 성남시 중원구 은행동
117,25시 종합 동물병원,033-764-0119,강원도 원주시 무실동
118,25시 종합동물병원,,경기도 오산시 오산동
119,25시 죽곡동물병원,587-8765,대구광역시 달성군 다사읍 죽곡리
120,25시동물병원,935-0075,서울특별시 노원구 중계동
121,25시동물병원,594-3119,경기도 남양주시 화도읍 마석우리
122,25시동물의료센터,419-1351,서울특별시 송파구 삼전동
123,25시종합동물병원,053-651-1101,대구광역시 달서구 송현동
124,25힐링센터,,제주특별자치도 서귀포시 표선면 성읍리
125,365 마음동물병원,02-2611-5223,서울특별시 구로구 궁동
126,365 신원당 동물병원,,경기도 고양시 덕양구 성사동
127,365동물병원,02-6402-0365,서울특별시 도봉구 방학동
128,365동물병원 분당점,718-0365,경기도 성남시 분당구 구미동
129,365동물병원위례점,,경기도 성남시 수정구 창곡동
130,365동판교동물병원,031-781-7582,경기도 성남시 분당구 백현동
131,4u동물메디컬센타,364-8220,경기도 안산시 단원구 고잔동
132,ABC동물병원,051-761-2502,부산광역시 수영구 광안동
133,ACE동물병원,032-205-7582,인천광역시 연수구 송도동
134,AK동물병원,033-242-2112,강원도 춘천시 중앙로3가
135,AP동물병원,031-263-0085,경기도 용인시 수지구 동천동
136,AVC 동물메디컬센터,"547-4788,",인천광역시 계양구 계산동
137,"Angel-In-Dogs
Animal Hospital",269-6633,울산광역시 남구 달동
138,AtoZ동물병원,031-8016-8206,경기도 성남시 분당구 백현동
139,BAC 바른동물병원,,경상북도 안동시 정하동
140,BB동물병원,052-211-7599,울산광역시 울주군 범서읍 구영리
141,BS조은동물병원,544-7588,부산광역시 해운대구 반송동
142,Be 동물병원,032-349-7975,경기도 부천시 괴안동
143,C.T.종합동물병원,02-6375-0075,서울특별시 마포구 신공덕동
144,CH동물병원,488-7510,서울특별시 강동구 천호동
145,CJ동물병원,032-323-4999,경기도 부천시 중동
146,CM 동물병원,043-533-8868,충청북도 진천군 광혜원면 광혜원리
147,Central 동물병원,032-815-7582,인천광역시 연수구 송도동
148,D&C동물병원,032)434-7525,인천광역시 남동구 간석동
149,DK동물병원,,경상북도 칠곡군 동명면 금암리
150,DS동물병원,02-837-0837,서울특별시 관악구 신림동
151,Dr. dog 동물영상의료센터,932-0075~6,경기도 고양시 일산동구 정발산동
152,Dr. 오즈 동물병원,701-8225,경기도 성남시 분당구 서현동
153,Dr.Dog동물의료센터,031-932-0075,경기도 고양시 일산동구 정발산동
154,Dr.G 동물병원,,인천광역시 강화군 강화읍 신문리
155,Dr.JK 동물병원,,경기도 고양시 일산동구 장항동
156,Dr.J동물병원,031-215-7975,경기도 용인시 기흥구 영덕동
157,Dr.K 종합동물병원,,충청남도 아산시 둔포면 석곡리
158,Dr.Mini 하늘다람쥐 전문병원,070-7796-0333,경기도 파주시 문발동
159,Dr.남동물병원,236-0575,광주광역시 서구 화정동
160,Dr.베토벤동물병원,02-427-1076,서울특별시 강동구 상일동
161,Dr.수동물병원,02-785-7582,서울특별시 영등포구 여의도동
162,Dr.윤24시동물병원,02-359-2020,서울특별시 은평구 대조동
163,Dr.주 동물병원,024700030,서울특별시 강동구 둔촌동
164,E 동물의료원,043-544-8514,충청북도 보은군 마로면 관기리
165,FM 동물메디컬센터,031-979-7975,경기도 고양시 덕양구 화정동
166,GD동물병원,429-8822,서울특별시 강동구 상일동
167,H 동물병원,02-984-7588,서울특별시 강북구 미아동
168,HELP 유기동물 의료센터,583-7580,서울특별시 서초구 방배동
169,Helix ADI Center : 헬릭스 영상진단센터,031-978-7575,경기도 고양시 덕양구 행신동
170,I-pet 동물병원,786-7582,서울특별시 영등포구 여의도동
171,J&C 동물병원,031-643-5545,경기도 이천시 설성면 신필리
172,J.H 동물병원,,대전광역시 서구 갈마동
173,JA 임상병리 동물병원,031-347-0546,경기도 안양시 만안구 안양동
174,JB동물병원,044-867-7595,세종특별자치시  아름동
175,JM서울동물병원(산업동물출장진료전문),,경상남도 함안군 칠서면 청계리
176,Jpet동물병원,051-853-7579,부산광역시 연제구 연산동
177,J동물병원,032-566-7582,인천광역시 서구 청라동
178,KABB 동물병원,,대구광역시 수성구 지산동
179,KABB-C 동물병원,,
180,KP 양계연구소,,전라북도 군산시 대야면 지경리
181,KRA 렛츠런파크제주 동물병원,786-8341,제주특별자치도 제주시 애월읍 유수암리
182,KRA 부산동물병원,051-901-7434,부산광역시 강서구 범방동
183,KRA 장수동물병원,0633503761,전라북도 장수군 장계면 명덕리
184,KRH동물병원,,경기도 김포시 감정동
185,KU건국동물병원,335-1023,충청남도 예산군 예산읍 산성리
186,KYH웰빙동물병원,422-3379,서울특별시 송파구 잠실동
187,LART ACADEMY,,경기도 남양주시 와부읍 덕소리
188,LK 동물병원,952-6426,서울특별시 노원구 중계동
189,LOVE MY PET 동물병원,382-7582,서울특별시 은평구 응암동
190,MK동물병원,,울산광역시 울주군 온산읍 덕신리
191,MS동물병원,"868-6631,010-6267-4910",부산광역시 연제구 연산동
192,MVP동물병원,0632278575,전라북도 전주시 완산구 효자동3가
193,My pet 동물병원,063-538-8575,전라북도 정읍시 수성동
194,NS대흥동물병원,,충청남도 논산시 채운면 화정리
195,O.K 동물병원,546-7588,경상남도 창원시 진해구 여좌동
196,O.K 동물병원,055-546-7588,경상남도 창원시 진해구 여좌동
197,PET119동물병원,284-6994,전라남도 목포시 상동
198,PET25시동물병원,655-6941,경기도 평택시 평택동
199,PMC,031-635-7620,경기도 이천시 대월면 사동리
200,SKY동물병원,2666-5667,서울특별시 강서구 방화동
201,S동물병원,0323225222,경기도 부천시 상동
202,S동물의료센터,03180033232,경기도 화성시 반송동
203,THE나은동물병원,0534777582,대구광역시 달서구 도원동
204,THE힘찬동물병원,,경기도 용인시 기흥구 중동
205,TLC 동물의료센터,,경기도 부천시 중동
206,The행복한동물병원,055-242-8988,경상남도 창원시 마산회원구 내서읍 호계리
207,UN동물의료센터,051-624-2475,부산광역시 남구 대연동
208,V+care 동물병원,02-6949-3038,서울특별시 서초구 반포동
209,VIP 동물의료센터,953-0075,서울특별시 성북구 동소문동6가
210,VIP동물의료센터,02-2215-7522,서울특별시 동대문구 장안동
211,VIP동물의료센터 서초동작점,02-525-3102,서울특별시 서초구 방배동
212,VIP동물의료센터 청담점,02-511-7522,서울특별시 강남구 청담동
213,VIP동물한방재활의학센터,02-511-7522,서울특별시 강남구 청담동
214,WE 동물병원,031-269-9975,경기도 수원시 장안구 정자동
215,Wellness clinic 동물병원,031-283-1357,경기도 용인시 기흥구 보정동
216,Wiz-Pet 동물병원,,경기도 고양시 일산동구 백석동
217,W동물의료센터,051-626-5050,부산광역시 남구 용호동
218,ZOO동물병원,914-5545,서울특별시 성북구 정릉동
219,e-동물 메디컬 센터,,전라남도 무안군 삼향읍 남악리
220,on동물병원,055-646-3188,경상남도 통영시 북신동
221,sun동물병원,031-234-5550,경기도 수원시 권선구 곡반정동
222,two현동물병원,070-4067-7858,경기도 평택시 동삭동
223,y동물병원,053-791-7532,대구광역시 수성구 시지동
224,가경 나음 동물병원,236-7975,충청북도 청주시 흥덕구 가경동
225,가경종합동물병원,,충청북도 청주시흥덕구 가경동
226,가까운동물병원,,충청북도 청주시흥덕구 분평동
227,가까운동물병원,,충청북도 청주시 서원구 분평동
228,가나다 동물병원,0517157979,부산광역시 사상구 주례동
229,가나다동물병원,,전라남도 해남군 해남읍 고도리
230,가나동물병원,774-9975,경상북도 경주시 성건동
231,가나동물병원,6650075,경기도 부천시 송내동
232,가나동물병원,,경상북도 구미시 원평동
233,가나동물병원,"742-4287,8",충청남도 논산시 연무읍 안심리
234,가나동물병원,441-8588,서울특별시 강동구 암사동
235,가나동물병원,053-941-0075,대구광역시 북구 산격동
236,가나동물병원,721-7582,경기도 성남시 수정구 신흥동
237,가나동물병원,534-7582,충청남도 아산시 온천동
238,가나동물병원,3491-4748,서울특별시 도봉구 방학동
239,가나종합동물병원,,경상북도 포항시 북구 대흥동
240,가나종합동물병원,,경상북도 경산시 옥산동
241,가나종합동물병원,2645-7588,서울특별시 양천구 목동
242,가능동물병원,875-1476,경기도 의정부시 가능동
243,가든펫동물병원,02-373-5555,서울특별시 은평구 증산동
244,가락종합동물병원,413-0075,서울특별시 송파구 방이동
245,가람가축병원,054-432-2292,경상북도 김천시 황금동
246,가람동물병원,02-484-5502,서울특별시 강동구 성내동
247,가람동물병원,055-292-7375,경상남도 창원시 마산회원구 합성동
248,가람동물병원,053-639-6366,대구광역시 달서구 상인동
249,가람동물병원,3431397,경기도 부천시 괴안동
250,가람동물병원,755-3625,경상남도 진주시 칠암동
251,가람동물병원,0613327975,전라남도 나주시 빛가람동
252,가람동물병원,535-4123,경상북도 상주시 복룡동
253,가람동물병원,055-292-7375,경상남도 창원시 마산회원구 합성동
254,가람동물병원,031-558-7582,경기도 구리시 인창동
255,가람동물병원,981-0123,경기도 김포시 양촌읍 양곡리
256,가람동물병원,743-1947,경상북도 경주시 외동읍 입실리
257,가람동물병원,064-794-7571,제주특별자치도 서귀포시 대정읍 하모리
258,가람동물병원,031-906-0976,경기도 고양시 일산동구 마두동
259,가로수동물병원,549-7579,서울특별시 강남구 신사동
260,가로수동물병원,372-7975,광주광역시 서구 화정동
261,가믄장 동물병원,751-8880,충청남도 금산군 금산읍 상리
262,가야농업협동조합동물병원,932-7750,경상남도 합천군 가야면 황산리
263,가야동물병원,054-430-8275,경상북도 김천시 남산동
264,가야동물병원,031-234-8318,경기도 수원시 팔달구 매산로3가
265,가야동물병원,352-4663,경상남도 밀양시 내이동
266,가야동물병원,655-3500,경기도 부천시 심곡동
267,가야동물병원,251-8597,광주광역시 북구 우산동
268,가야종합동물병원,894-7559,부산광역시 부산진구 개금동
269,가양동물병원,,대전광역시 동구 가양동
270,가양쿨펫동물병원,3665-1838,서울특별시 강서구 가양동
271,가온동물병원,053-958-0075,대구광역시 북구 서변동
272,가온동물병원,553-5534,충청남도 천안시 동남구 청당동
273,가온동물병원,,부산광역시 서구 서대신동1가
274,가온동물병원,,전라북도 김제시 신풍동
275,가온동물병원,,경기도 파주시 목동동
276,가온동물병원,055-387-8256,경상남도 양산시 물금읍 가촌리
277,가온동물병원,02-2643-2777,서울특별시 양천구 목동
278,가온동물병원,,서울특별시 강동구 고덕동
279,가온동물의료센터,055-274-7575,경상남도 창원시 성산구 가음동
280,가인동물병원,,충청북도 충주시 연수동
281,가재울봉쥬르동물병원,02-305-8275,서울특별시 서대문구 북가좌동
282,가정동물병원,032-575-0833,인천광역시 서구 가정동
283,가족동물병원,063-446-6688,전라북도 군산시 수송동
284,가좌동물병원,307-4633,서울특별시 서대문구 북가좌동
285,가좌동물병원,031-922-5777,경기도 고양시 일산서구 가좌동
286,가축유전자원센터 동물병원,055-960-3500,경상남도 함양군 서상면 상남리
287,가평가축병원,582-2412,경기도 가평군 가평읍 대곡리
288,가평축산농협 동물병원,031-582-4111,경기도 가평군 가평읍 대곡리
289,갈매동물병원,031-529-5088,
290,감계동물병원,055-291-8275,경상남도 창원시 의창구 북면 감계리
291,감자동물병원,,대구광역시 수성구 매호동
292,감춘영가축병원,,경상남도 남해군 남해읍 서변리
293,갑을동물병원,784-7844,부산광역시 해운대구 재송동
294,강 동물병원,342-3060,경상남도 김해시 진영읍 진영리
295,강 동물병원,,경기도 용인시 처인구 백암면 백암리
296,강남25동물병원,02-545-8575,서울특별시 강남구 논현동
297,강남가축병원,033-645-8871,강원도 강릉시 포남동
298,강남다온동물병원,02-576-1239,서울특별시 강남구 도곡동
299,강남동물병원,723-2005,제주특별자치도 제주시 삼도이동
300,강남동물병원,,경기도 용인시 수지구 동천동
301,강남동물병원,354-7844,경기도 화성시 향남읍 행정리
302,강남동물병원,,경기도 평택시 팽성읍 안정리
303,강남동물병원,441-1183,경상북도 구미시 원평동
304,강남동물병원,02-813-5999,서울특별시 동작구 대방동
305,강남동물병원,031-906-7575,경기도 고양시 일산동구 식사동
306,강남동물병원,631-7582,충청남도 홍성군 홍성읍 고암리
307,강남동물병원,267-0025,울산광역시 남구 달동
308,강남동물병원,741-3012,경기도 성남시 중원구 금광동
309,강남동물병원,399-7599,경기도 군포시 산본동
310,강남동물병원,514-7582,서울특별시 강남구 논현동
311,강남메디컬동물병원,054-901-1100,경상북도 안동시 정하동
312,강남서초 동물병원,598-9875,서울특별시 서초구 서초동
313,강남애니동물메디컬센터,795-0903,경기도 하남시 신장동
314,강남종합동물병원,033-263-0513,강원도 춘천시 석사동
315,강남종합동물병원,031-283-0775,경기도 용인시 기흥구 신갈동
316,강내동물병원,260-2145,충청북도 청원군 강내면 탑연리
317,강내동물병원,233-2145,충청북도 청주시 흥덕구 강내면 탑연리
318,강동24시 SKY 동물의료센터,02-472-7579,서울특별시 강동구 성내동
319,강동동물병원,472-7343,서울특별시 강동구 길동
320,강동동물병원,033-256-3319,
321,강동물병원,325-7579,대구광역시 북구 관음동
322,강동물병원,761-0383,경상남도 진주시 하대동
323,강릉동물병원,641-7584,강원도 강릉시 옥천동
324,강릉축협동물병원,645-2101,강원도 강릉시 입암동
325,강북 24시 N 동물의료센터,984-0075,서울특별시 성북구 길음동
326,강북동물병원,985-7525,서울특별시 강북구 번동
327,강북동물병원,011-544-7633,경상북도 경산시 하양읍 동서리
328,강북동물병원,924-4555,서울특별시 성북구 종암동
329,강북동물병원,325-2530,대구광역시 북구 태전동
330,강북우리동물의료센터,999-7582,서울특별시 도봉구 창동
331,강북종합,,충청남도 공주시 신관동
332,강산동물병원,031-656-6166,경기도 안성시 원곡면 반제리
333,강산동물병원,,경기도 여주시 홍문동
334,강서YD동물의료센터,02-518-7500,서울특별시 강서구 등촌동
335,강서동물병원,2691-5900,서울특별시 강서구 화곡동
336,강서동물병원,233-7512,충청북도 청주시 흥덕구 비하동
337,강서동물병원,233-7512,충청북도 청주시 흥덕구 비하동
338,강아지나라동물병원,574-5957,경기도 남양주시 진접읍 장현리
339,강아지와고양이나라 동물병원,439-3578,인천광역시 남동구 논현동
340,강애동물병원,055-262-5152,경상남도 창원시 성산구 안민동
341,강애동물병원,,경상남도 창원시 서상동
342,강앤정 동물병원,02-305-7505,서울특별시 서대문구 남가좌동
343,강영석동물병원,041-633-4200,충청남도 홍성군 홍성읍 오관리
344,강원대학교 부속 동물병원,033-250-8606,강원도 춘천시 효자동
345,강원대학교부설 야생동물구조센터,033-250-7504,강원도 춘천시 효자동
346,강원동물병원,033-373-0788,강원도 영월군 영월읍 영흥리
347,강원동물병원,033-766-7494,강원도 원주시 중앙동
348,강원동물병원,,강원도 삼척시 근덕면 광태리
349,강원동물병원,,강원도 홍천군 홍천읍 연봉리
350,강원동물병원,,강원도 양구군 양구읍 하리
351,강원양돈축산업협동조합동물병원,642-2212,강원도 강릉시 교동
352,강이동물병원,,충청남도 예산군 광시면 광시리
353,강일웅 동물메디컬 센터,,울산광역시 남구 달동
354,강주혁동물병원,,경상북도 성주군 용암면 상언리
355,강진동물약품병원,,전라남도 강진군 강진읍 동성리
356,강진완도축협동물병원,,전라남도 강진군 군동면 호계리
357,강한 우리동물병원,,충청남도 당진시 합덕읍 운산리
358,강해철 동물병원,,경상북도 문경시 모전동
359,강현림 종합동물병원,2642-9159,서울특별시 양천구 목동
360,강형모동물병원,,경상남도 합천군 합천읍 합천리
361,개금동물병원,324-9954,부산광역시 사상구 주례동
362,개명동물병원,2619-0888,서울특별시 구로구 개봉동
363,개봉동물병원,2615-5014,서울특별시 구로구 고척동
364,개와냥이동물병원,02-352-7275,서울특별시 은평구 대조동
365,개포동물병원,02-3412-7582,서울특별시 강남구 개포동
366,개포동물병원,031-771-7278,경기도 양평군 양서면 양수리
367,개포별빛동물병원,573-7582,서울특별시 강남구 개포동
368,갤러리아동물병원,2144-6175,서울특별시 송파구 잠실동
369,거부기 동물병원,,경기도 고양시 일산동구 장항동
370,거산동물병원,363-2550,충청남도 당진시 신평면 거산리
371,거산동물병원,,충청남도 당진군 신평면 거산리
372,거제동물메디컬센터,0556327583,경상남도 거제시 고현동
373,거제동물병원,862-8668,부산광역시 연제구 거제동
374,거창축산업협동조합동물병원,944-9976,경상남도 거창군 거창읍 대평리
375,건국 대동물병원,,충청남도 서산시 읍내동
376,건국 동물병원,031-721-4111,경기도 성남시 수정구 태평동
377,건국 종합 가축병원 (출장전문병원),031-676-7773,경기도 안성시 일죽면 송천리
378,건국가축병원,,경상북도 상주시 신봉동
379,건국대학교 부속 동물병원,450-3664,서울특별시 광진구 화양동
380,건국동물병원,,충청남도 당진시 읍내동
381,건국동물병원,,충청북도 청주시 청원구 내수읍 마산리
382,건국동물병원,,강원도 홍천군 홍천읍 연봉리
383,건국동물병원,,충청남도 당진군 당진읍 읍내리
384,건국동물병원,665-7763,경기도 평택시 청북읍 어연리
385,건국동물병원,569-0277,경기도 구리시 교문동
386,건국동물병원,011-523-9373,경상북도 경주시 외동읍 입실리
387,건국동물병원(출장진료전문),,충청남도 아산시 둔포면 둔포리
388,건우동물병원,,경기도 양주시 은현면 선암리
389,검단종합동물병원,,인천광역시 서구 마전동
390,검암동물병원,017-325-0270,인천광역시 서구 검암동
391,견우동물병원,767-0079,경기도 광주시 태전동
392,견우동물병원,0542527577,경상북도 포항시 북구 두호동
393,경기 동물 영상 센터,,경기도 수원시 장안구 조원동
394,경기도 도우미견나눔센터,031-8008-6721,경기도 화성시 마도면 쌍송리
395,경기도 야생동물 구조관리센터,03180086212,경기도 평택시 진위면 동천리
396,경기동물메디컬센터,031-375-8875,경기도 오산시 원동
397,경기동물병원,865-2137,경기도 동두천시 생연동
398,경기동물병원,,경기도 가평군 청평면 청평리
399,경기동물병원,666-6501,경기도 평택시 서정동
400,경기동물전문병원,011-250-7582,경기도 이천시 중리동
401,경기중앙동물병원,"031-443-8875,7560",경기도 안양시 만안구 안양동
402,경남동물병원,055-752-5803,경상남도 진주시 일반성면 창촌리
403,경남동물병원,356-3100,경상남도 밀양시 내일동
404,경남수의동물병원,,경상남도 창녕군 계성면 명리
405,경남수의동물병원(출장진료전문병원),,경상남도 진주시 상평동
406,경남야생동물센터,055-772-2335,경상남도 진주시 가좌동
407,경남우유동물병원,293-9509,경상남도 창원시 동읍 용잠리
408,경남유우동물병원,293-9509,경상남도 창원시 의창구 동읍 용잠리
409,경남축산가축병원,673-7737,경상남도 고성군 회화면 배둔리
410,경동가축병원,054-635-5257,경상북도 영주시 하망동
411,경동동물병원,765-9988,인천광역시 중구 경동
412,경민동물병원,054-336-6179,경상북도 영천시 도림동
413,경북가축병원,,경상북도 안동시 금곡동
414,경북가축병원,352-5630,대구광역시 북구 노원동2가
415,경북대동물병원,762-0164,경상북도 경주시 안강읍 안강리
416,경북대학교 수의과대학 부속동물병원,053-950-6898,대구광역시 북구 산격동
417,경북대학교 수의과대학 부속동물병원(분원),054-530-1970,경상북도 상주시 가장동
418,경북동물병원,,경상북도 고령군 쌍림면 고곡리
419,경북종합동물병원,541-0304,경상북도 상주시 함창읍 구향리
420,경산동물병원,011-811-3503,경상북도 경산시 중방동
421,경산의 삽살개육종연구소,,경상북도 경산시 와촌면 박사리
422,경산축산농협 동물병원,856-7585,경상북도 경산시 자인면 서부리
423,경상국립대학교 동물의료원,055-772-2323,경상남도 진주시 가좌동
424,경상국립대학교수의과대학부속동물병원,055-772-2324,경상남도 진주시 가좌동
425,경상동물병원,055-263-5144,경상남도 창원시 상남동
426,경상동물병원,,경상남도 산청군 산청읍 지리
